LSOA code,LSOA name,Local authority name,Median House Price Quartile,Total Crime Quartile,Violence Against The Person Quartile,Total IMD Quartile,Transport Quartile
E01000019,Barking and Dagenham 023A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000020,Barking and Dagenham 023B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000021,Barking and Dagenham 008A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000022,Barking and Dagenham 008B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000023,Barking and Dagenham 008C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000024,Barking and Dagenham 008D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000025,Barking and Dagenham 008E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000027,Barking and Dagenham 001A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000028,Barking and Dagenham 001B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000029,Barking and Dagenham 001C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000030,Barking and Dagenham 001D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000031,Barking and Dagenham 002A,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000032,Barking and Dagenham 002B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000033,Barking and Dagenham 006A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000034,Barking and Dagenham 003A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000035,Barking and Dagenham 010A,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000036,Barking and Dagenham 010B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000037,Barking and Dagenham 003B,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q1 (0.19 to 5.47)
E01000038,Barking and Dagenham 003C,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000039,Barking and Dagenham 003D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000040,Barking and Dagenham 019A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000041,Barking and Dagenham 017A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000042,Barking and Dagenham 017B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000043,Barking and Dagenham 019B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000044,Barking and Dagenham 016D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000045,Barking and Dagenham 017C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000046,Barking and Dagenham 017D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000050,Barking and Dagenham 019C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q4 (16.97 to 121.89)
E01000051,Barking and Dagenham 021D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000052,Barking and Dagenham 019D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000053,Barking and Dagenham 020A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000054,Barking and Dagenham 018A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000055,Barking and Dagenham 018B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000056,Barking and Dagenham 018C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000057,Barking and Dagenham 012A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000058,Barking and Dagenham 018D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000059,Barking and Dagenham 013C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000060,Barking and Dagenham 006B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000061,Barking and Dagenham 006C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000062,Barking and Dagenham 006D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000063,Barking and Dagenham 004A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000064,Barking and Dagenham 006E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000065,Barking and Dagenham 007A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000066,Barking and Dagenham 011A,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000067,Barking and Dagenham 011B,Barking and Dagenham,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000068,Barking and Dagenham 016E,Barking and Dagenham,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000069,Barking and Dagenham 011C,Barking and Dagenham,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000070,Barking and Dagenham 011D,Barking and Dagenham,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000071,Barking and Dagenham 011E,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q2 (12.31 to 20.12),Q2 (5.47 to 9.48)
E01000072,Barking and Dagenham 017E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000073,Barking and Dagenham 012B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000074,Barking and Dagenham 012C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000075,Barking and Dagenham 012D,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000076,Barking and Dagenham 012E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000077,Barking and Dagenham 008F,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000078,Barking and Dagenham 007B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000079,Barking and Dagenham 009E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000080,Barking and Dagenham 007C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000081,Barking and Dagenham 007D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000082,Barking and Dagenham 007E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000083,Barking and Dagenham 007F,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000084,Barking and Dagenham 013D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000085,Barking and Dagenham 013E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000086,Barking and Dagenham 013F,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000087,Barking and Dagenham 020B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000088,Barking and Dagenham 020C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000089,Barking and Dagenham 020D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000090,Barking and Dagenham 020E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000091,Barking and Dagenham 022A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000092,Barking and Dagenham 019E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000093,Barking and Dagenham 022B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000094,Barking and Dagenham 022C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000095,Barking and Dagenham 018E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000096,Barking and Dagenham 022D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000097,Barking and Dagenham 023C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000098,Barking and Dagenham 023D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000099,Barking and Dagenham 023E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000100,Barking and Dagenham 004B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000101,Barking and Dagenham 004C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000102,Barking and Dagenham 007G,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000103,Barking and Dagenham 014A,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000104,Barking and Dagenham 014B,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000105,Barking and Dagenham 014C,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q2 (5.47 to 9.48)
E01000106,Barking and Dagenham 014D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000107,Barking and Dagenham 010C,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000108,Barking and Dagenham 010D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000109,Barking and Dagenham 004D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000110,Barking and Dagenham 002C,Barking and Dagenham,Q2 (420000.00 to 520000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q1 (0.19 to 5.47)
E01000111,Barking and Dagenham 002D,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q1 (0.19 to 5.47)
E01000112,Barking and Dagenham 002E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000113,Barking and Dagenham 002F,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000114,Barking and Dagenham 004E,Barking and Dagenham,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000115,Barnet 009A,Barnet,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000116,Barnet 009B,Barnet,Q3 (520000.00 to 683000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000117,Barnet 010A,Barnet,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000118,Barnet 010B,Barnet,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000119,Barnet 009C,Barnet,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000120,Barnet 009D,Barnet,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000121,Barnet 010C,Barnet,Q3 (520000.00 to 683000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000122,Barnet 009E,Barnet,Q4 (683000.00 to 6425000.00),Q1 (2.00 to 79.00),Q1 (0.00 to 24.00),Q1 (2.33 to 12.31),Q1 (0.19 to 5.47)
E01000123,Barnet 010D,Barnet,Q3 (520000.00 to 683000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q1 (2.33 to 12.31),Q2 (5.47 to 9.48)
E01000124,Barnet 010E,Barnet,Q1 (147500.00 to 420000.00),Q4 (173.00 to 9206.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000125,Barnet 024A,Barnet,Q1 (147500.00 to 420000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000126,Barnet 026A,Barnet,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q1 (0.19 to 5.47)
E01000127,Barnet 024B,Barnet,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000128,Barnet 024C,Barnet,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000130,Barnet 021A,Barnet,Q1 (147500.00 to 420000.00),Q3 (114.00 to 173.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000131,Barnet 024E,Barnet,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q3 (20.12 to 29.24),Q2 (5.47 to 9.48)
E01000132,Barnet 021B,Barnet,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000133,Barnet 021C,Barnet,Q2 (420000.00 to 520000.00),Q2 (79.00 to 114.00),Q3 (38.00 to 56.00),Q4 (29.24 to 59.01),Q3 (9.48 to 16.97)
E01000134,Barnet 024F,Barnet,Q1 (147500.00 to 420000.00),Q1 (2.00 to 79.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000135,Barnet 038A,Barnet,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000136,Barnet 038B,Barnet,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q1 (2.33 to 12.31),Q3 (9.48 to 16.97)
E01000137,Barnet 041A,Barnet,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000138,Barnet 040A,Barnet,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q3 (20.12 to 29.24),Q3 (9.48 to 16.97)
E01000139,Barnet 041B,Barnet,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000140,Barnet 041C,Barnet,Q4 (683000.00 to 6425000.00),Q2 (79.00 to 114.00),Q1 (0.00 to 24.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
E01000141,Barnet 039A,Barnet,Q3 (520000.00 to 683000.00),Q4 (173.00 to 9206.00),Q4 (56.00 to 1283.00),Q3 (20.12 to 29.24),Q4 (16.97 to 121.89)
E01000142,Barnet 040B,Barnet,Q3 (520000.00 to 683000.00),Q2 (79.00 to 114.00),Q2 (24.00 to 38.00),Q2 (12.31 to 20.12),Q3 (9.48 to 16.97)
